Time (s),Li-Ion Voltage (mV),LiPo Voltage (mV)
30960,3666.483333333333,
31020,3668.133333333333,
31080,3666.366666666667,
31140,3665.35,
31200,3663.15,
31260,3663.8333333333335,
31320,3663.2833333333333,
31380,3662.3,
31440,3661.2166666666667,
31500,3662.616666666667,
31560,3659.05,
31620,3660.35,
31680,3661.55,
31740,3655.516666666667,
31800,3655.7,
31860,3656.9333333333334,
31920,3652.8,
31980,3653.0666666666666,
32040,3653.233333333333,
32100,3652.3,
32160,3652.95,
32220,3652.0333333333333,
32280,3653.4166666666665,
32340,3650.95,
32400,3648.8166666666666,
32460,3650.233333333333,
32520,3649.4333333333334,
32580,3646.616666666667,
32640,3648.0333333333333,
32700,3647.266666666667,
32760,3644.05,
32820,3644.4166666666665,
32880,3646.766666666667,
32940,3641.866666666667,
33000,3641.55,
33060,3644.4166666666665,
33120,3641.5,
33180,3641.3333333333335,
33240,3636.983333333333,
33300,3638.883333333333,
33360,3639.3,
33420,3637.45,
33480,3636.483333333333,
33540,3637.35,
33600,3636.233333333333,
33660,3637.2166666666667,
33720,3635.15,
33780,3635.6666666666665,
33840,3633.766666666667,
33900,3631.8166666666666,
33960,3635.3,
34020,3631.483333333333,
34080,3630.8,
34140,3631.35,
34200,3628.6666666666665,
34260,3629.733333333333,
34320,3628.1833333333334,
34380,3627.1,
34440,3624.6666666666665,
34500,3624.3333333333335,
34560,3625.366666666667,
34620,3623.6,
34680,3622.3333333333335,
34740,3624.366666666667,
34800,3624.616666666667,
34860,3625.116666666667,
34920,3623.5666666666666,
34980,3622.2,
35040,3623.0666666666666,
35100,3620.2,
35160,3621.65,
35220,3621.633333333333,
35280,3614.95,
35340,3619.1,
35400,3615.0,
35460,3612.633333333333,
35520,3615.7,
35580,3615.2,
35640,3614.3,
35700,3610.616666666667,
35760,3614.016666666667,
35820,3611.0666666666666,
35880,3611.266666666667,
35940,3611.616666666667,
36000,3611.9666666666667,
36060,3610.3,
36120,3610.9,
36180,3606.8333333333335,
36240,3605.25,
36300,3607.25,
36360,3605.633333333333,
36420,3604.4666666666667,
36480,3601.733333333333,
36540,3602.05,
36600,3602.5833333333335,
36660,3605.0666666666666,
36720,3600.266666666667,
36780,3601.733333333333,
36840,3600.233333333333,
36900,3600.05,
36960,3600.3166666666666,
37020,3599.983333333333,
37080,3598.7,
37140,3594.1,
37200,3596.4166666666665,
37260,3594.866666666667,
37320,3591.0666666666666,
37380,3593.2166666666667,
37440,3591.633333333333,
37500,3590.266666666667,
37560,3590.0833333333335,
37620,3588.1666666666665,
37680,3589.9,
37740,3591.0833333333335,
37800,3588.366666666667,
37860,3587.1833333333334,
37920,3590.516666666667,
37980,3584.6666666666665,
38040,3586.4,
38100,3584.5333333333333,
38160,3583.65,
38220,3582.3333333333335,
38280,3582.25,
