Time (s),Li-Ion Voltage (mV),LiPo Voltage (mV)
1463,4115,3732
1464,4136,3732
1465,4127,3714
1466,4127,3724
1467,4137,3724
1468,4127,3724
1469,4137,3742
1470,4157,3732
1471,4136,3721
1472,4146,3732
1473,4146,3714
1474,4146,3724
1475,4127,3724
1476,4137,3742
1477,4137,3732
1478,4137,3721
1479,4146,3714
1480,4166,3714
1481,4117,3697
1482,4146,3724
1483,4127,3724
1484,4107,3732
1485,4137,3732
1486,4137,3732
1487,4157,3721
1488,4136,3714
1489,4146,3714
1490,4146,3724
1491,4146,3724
1492,4127,3742
1493,4127,3721
1494,4137,3732
1495,4157,3732
1496,4157,3714
1497,4146,3714
1498,4146,3704
1499,4136,3724
1500,4117,3732
1501,4127,3732
1502,4137,3714
1503,4137,3704
1504,4157,3714
1505,4146,3683
1506,4146,3714
1507,4117,3732
1508,4146,3732
1509,4127,3732
1510,4137,3732
1511,4127,3697
1512,4137,3714
1513,4146,3724
1514,4146,3701
1515,4146,3732
1516,4166,3690
1517,4136,3732
1518,4107,3714
1519,4127,3714
1520,4137,3714
1521,4137,3714
1522,4146,3721
1523,4146,3711
1524,4146,3721
1525,4136,3721
1526,4117,3704
1527,4137,3714
1528,4127,3724
1529,4137,3724
1530,4146,3742
1531,4146,3721
1532,4146,3732
1533,4136,3721
1534,4127,3704
1535,4127,3714
1536,4137,3704
1537,4126,3732
1538,4146,3721
1539,4136,3721
1540,4127,3721
1541,4127,3704
1542,4137,3704
1543,4137,3714
1544,4137,3714
1545,4157,3714
1546,4146,3721
1547,4127,3721
1548,4146,3721
1549,4136,3721
1550,4127,3721
1551,4146,3704
1552,4127,3714
1553,4137,3714
1554,4127,3714
1555,4146,3732
1556,4166,3701
1557,4115,3739
1558,4136,3721
1559,4146,3721
1560,4107,3693
1561,4127,3714
1562,4107,3714
1563,4146,3714
1564,4146,3732
1565,4146,3704
1566,4136,3721
1567,4146,3721
1568,4127,3721
1569,4127,3693
1570,4127,3714
1571,4157,3714
1572,4136,3732
1573,4136,3721
1574,4146,3721
1575,4127,3721
1576,4127,3693
1577,4137,3704
1578,4146,3704
1579,4146,3714
1580,4136,3714
1581,4146,3732
1582,4127,3721
1583,4127,3673
1584,4127,3704
1585,4137,3704
1586,4146,3714
1587,4146,3704
1588,4155,3714
1589,4146,3721
1590,4127,3711
1591,4127,3728
1592,4127,3693
1593,4137,3704
1594,4146,3714
1595,4146,3714
1596,4146,3704
1597,4126,3693
1598,4127,3711
1599,4107,3676
1600,4137,3704
1601,4136,3714
1602,4146,3704
1603,4146,3721
1604,4117,3728
1605,4127,3711
1606,4146,3693
1607,4137,3704
1608,4127,3704
1609,4146,3704
1610,4146,3721
1611,4117,3711
1612,4146,3711
1613,4087,3686
1614,4097,3693
1615,4127,3704
1616,4106,3704
1617,4137,3721
1618,4146,3711
1619,4146,3693
1620,4146,3711
1621,4136,3693
1622,4137,3683
1623,4106,3721
1624,4146,3728
1625,4136,3701
1626,4146,3693
1627,4136,3693
1628,4136,3704
1629,4127,3704
1630,4137,3721
1631,4137,3721
1632,4157,3728
1633,4146,3711
1634,4146,3693
1635,4136,3676
1636,4117,3704
1637,4127,3704
1638,4127,3721
1639,4127,3711
1640,4157,3711
1641,4146,3718
1642,4135,3683
1643,4136,3693
1644,4097,3704
1645,4127,3693
1646,4127,3721
1647,4127,3728
1648,4146,3728
1649,4136,3711
1650,4115,3711
1651,4146,3693
1652,4117,3704
1653,4117,3693
1654,4096,3704
